t,eps_ref  # digitised from DeBonis 2013 NASA/TM-2013-217850 Fig. 4(a), black ref. soln. curve
8.300000000000000711e+00,1.128373056994818983e-02
8.349999999999999645e+00,1.141512953367875526e-02
8.400000000000000355e+00,1.154652849740932762e-02
8.449999999999999289e+00,1.169678756476683762e-02
8.500000000000000000e+00,1.186380458919319286e-02
8.550000000000000711e+00,1.205814951887491070e-02
8.599999999999999645e+00,1.225770540340487963e-02
8.650000000000000355e+00,1.243236121391561901e-02
8.699999999999999289e+00,1.257178386380458819e-02
8.750000000000000000e+00,1.267283493708364420e-02
8.800000000000000711e+00,1.273415247964470795e-02
8.849999999999999645e+00,1.277338267949667053e-02
8.900000000000000355e+00,1.280201332346410197e-02
8.949999999999999289e+00,1.281915618060695816e-02
9.000000000000000000e+00,1.282013323464100719e-02
9.050000000000000711e+00,1.278975573649148746e-02
9.099999999999999645e+00,1.273296817172464915e-02
9.150000000000000355e+00,1.263967431532198038e-02
9.199999999999999289e+00,1.251150259067357676e-02
9.250000000000000000e+00,1.235721687638786405e-02
9.300000000000000711e+00,1.219108808290155291e-02
9.349999999999999645e+00,1.203088082901554619e-02
9.400000000000000355e+00,1.188393782383419424e-02
9.449999999999999289e+00,1.178116950407106026e-02
9.500000000000000000e+00,1.170273871206513848e-02
9.550000000000000711e+00,1.164512213175425415e-02
9.599999999999999645e+00,1.159934863064396825e-02
9.650000000000000355e+00,1.155949666913397636e-02
9.699999999999999289e+00,1.151964470762398447e-02
9.750000000000000000e+00,1.147387120651369510e-02
9.800000000000000711e+00,1.142809770540340400e-02
9.849999999999999645e+00,1.138232420429311637e-02
9.900000000000000355e+00,1.133655070318282700e-02
9.949999999999999289e+00,1.128997779422650193e-02
1.000000000000000000e+01,1.124500370096224999e-02
1.005000000000000071e+01,1.121027387120651295e-02
1.009999999999999964e+01,1.118738712065136913e-02
1.015000000000000036e+01,1.116802368615840181e-02
1.019999999999999929e+01,1.114753515914137898e-02
1.025000000000000000e+01,1.112464840858623169e-02
1.030000000000000071e+01,1.108879348630643739e-02
1.034999999999999964e+01,1.104894152479644551e-02
1.040000000000000036e+01,1.099724648408586213e-02
1.044999999999999929e+01,1.092905995558845177e-02
1.050000000000000000e+01,1.085655070318282747e-02
1.055000000000000071e+01,1.077989637305699390e-02
1.059999999999999964e+01,1.069939304219096922e-02
1.065000000000000036e+01,1.061888971132494454e-02
1.069999999999999929e+01,1.053838638045891986e-02
1.075000000000000000e+01,1.046957809030348019e-02
1.080000000000000071e+01,1.038922279792746026e-02
1.084999999999999964e+01,1.030871946706143731e-02
1.090000000000000036e+01,1.022821613619541263e-02
1.094999999999999929e+01,1.014513693560325711e-02
1.100000000000000000e+01,1.005358993338268184e-02
1.105000000000000071e+01,9.967964470762400581e-03
1.109999999999999964e+01,9.882339008142115855e-03
1.115000000000000036e+01,9.790792005921538851e-03
1.119999999999999929e+01,9.694744633604738052e-03
1.125000000000000000e+01,9.613619541080680592e-03
1.130000000000000071e+01,9.519052553663951560e-03
1.134999999999999964e+01,9.430525536639526585e-03
1.140000000000000036e+01,9.338978534418949581e-03
1.144999999999999929e+01,9.247431532198374313e-03
1.150000000000000000e+01,9.161806069578093056e-03
1.155000000000000071e+01,9.077276091783865672e-03
1.159999999999999964e+01,8.994581791265729778e-03
1.165000000000000036e+01,8.910851221317541565e-03
1.169999999999999929e+01,8.833575129533680417e-03
1.175000000000000000e+01,8.751443375277572281e-03
1.180000000000000071e+01,8.671739452257585037e-03
1.184999999999999964e+01,8.586143597335307159e-03
1.190000000000000036e+01,8.494566987416728512e-03
1.194999999999999929e+01,8.404589193190229943e-03
1.200000000000000000e+01,8.307920059215396363e-03
1.205000000000000071e+01,8.211250925240562784e-03
1.209999999999999964e+01,8.104692820133234041e-03
1.215000000000000036e+01,7.993071798667653743e-03
1.219999999999999929e+01,7.879437453737975564e-03
1.225000000000000000e+01,7.753515914137671695e-03
1.230000000000000071e+01,7.634404145077715483e-03
1.234999999999999964e+01,7.500962250185048800e-03
1.240000000000000036e+01,7.371606217616582038e-03
1.244999999999999929e+01,7.246128793486305425e-03
1.250000000000000000e+01,7.122131754256105785e-03
1.255000000000000071e+01,7.008378978534417561e-03
1.259999999999999964e+01,6.899185788304958156e-03
1.265000000000000036e+01,6.802516654330124576e-03
1.269999999999999929e+01,6.710051813471505297e-03
1.275000000000000000e+01,6.624426350851221439e-03
1.280000000000000071e+01,6.544011843079199954e-03
1.284999999999999964e+01,6.472746113989639484e-03
1.290000000000000036e+01,6.409000740192452236e-03
1.294999999999999929e+01,6.347268689859364606e-03
1.300000000000000000e+01,6.289859363434493512e-03
1.305000000000000071e+01,6.238164322723909264e-03
1.309999999999999964e+01,6.192390821613619027e-03
1.315000000000000036e+01,6.146617320503330525e-03
1.319999999999999929e+01,6.100843819393042891e-03
1.325000000000000000e+01,6.066913397483345884e-03
1.330000000000000071e+01,6.021139896373055647e-03
1.334999999999999964e+01,5.975366395262768013e-03
1.340000000000000036e+01,5.929592894152480378e-03
1.344999999999999929e+01,5.883819393042191877e-03
1.350000000000000000e+01,5.838045891931903375e-03
1.355000000000000071e+01,5.792272390821614873e-03
